dc.title,dc.contributor.author,dc.type,dc.date.issued,dc.identifier.uri,dc.identifier.doi,dc.subject,cg.subject.cifor,cg.contributor.affiliation,cg.contributor.center,cg.contributor.donor,cg.coverage.region,cg.coverage.country,cifor.publication.status,dc.type.refereed,dc.description.abstract,cifor.source.title,dc.identifier.issn,cifor.source.volume,cifor.source.numbers,dc.publisher,dc.type.isi,dc.language,dc.language.iso,cifor.type.oa,dc.rights,dc.format.extent,cifor.source.page
Self-identification of indigenous people in post-independence Indonesia: a historical analysis in the context of REDD+,"de Royer S; Visser L; Galudra, G.; Pradhan U P; van Noordwijk, M.",Journal Article,2015-07-07,#/11463/31954,https://doi.org/10.1505/146554815815982648,climate change; landscape; livelihood,,,,,Southeast Asia,Indonesia,,,"The reform era around the turn of the century in Indonesia has been followed by a revitalization of local claims to political authority and nat-ural resources on the basis of adat and indigeneity. In May of 2013, the Constitutional Court acknowledged indigenous ownership of forest territories and declassified them from State-owned forest zones without further conceptualizing the notion of indigeneity and its relation to land tenure and territorial conflicts. Drawing on a historical review of the adat discourse, this paper demonstrates how Dutch scholars during the colonial time have supported a definition of indigeneity based on territorialisation. Using a case study from the interior of Kalimantan, we provide evidence that privileging indigenous communities based on the notion of territoriality and prior occupation of the land, supported by a colonial definition of adat rights tends to exclude right-holders who do not necessarily fit clear territorial niches. This administrative practice of essentializing the social structuring of the landscape matches the requirements used in the context of REDD+ but ignores the fact that social and territorial boundaries of ethnic groups are permeable and dynamic due to social-political interactions which create contention and conflict especially in the context of the recent introduction of carbon rights and benefit sharing under the context of REDD+.",International Forestry Review,1465-5489,17,3,,ISI Journal,English,en,Open Access,,,1-16
Exploring the agency of Africa in climate change negotiations: the case of REDD+,Atela J O; Quinn C H; Arhin A A; Duguma L; Mbeva K L,Journal Article,2017-07-09,#/11463/31953,https://doi.org/10.1007/s10784-016-9329-6,climate change; forest degradation; sustainable development; research; capacity,,,,,Africa,,,,"Emerging climate change regimes, such as the mechanism for reducing emissions from deforestation and forest degradation (REDD+), are increasingly aiming to engage developing countries such as those in Africa, in sustainable development through carbon markets. The contribution of African countries to global climate negotiations determines how compatible the negotiated rules could be with the existing socioeconomic and policy circumstances of African countries. The aim of this paper is to explore the agency of Africa (African States) in the global climate change negotiations and discuss possible implications for implementing these rules using REDD+ as a case study. Drawing on document analysis and semi-structured expert interviews, our findings suggest that although African countries are extensively involved in the implementation of REDD+ interventions, the continent has a weak agency on the design of the global REDD+ architecture. This weak agency results from a number of factors including the inability of African countries to send large and diverse delegations to the negotiations as well lack of capacity to generate and transmit research evidence to the global platform. African countries also perceive themselves as victims of climate change who should be eligible for support rather than sources of technological solutions. Again, Africa’s position is fragmented across negotiation coalitions which weakens the continent's collective influence on the REDD+ agenda. This paper discusses a number of implementation deficits which could result from this weak agency. These include concerns about implementation capacity and a potential lack of coherence between REDD+ rules and existing policies in African countries. These findings call for a rethink of pathways to enhancing Africa’s strategies in engaging in multilateral climate change negotiations, especially if climate change regimes specifically targeted at developing countries are to be effective. © 2016 Springer Science+Business Media Dordrecht","International Environmental Agreements: Politics, Law and Economics",1573-1553,17,4,,Non-ISI Journal,English,en,Closed Access,,,463-482
Impact of climate change on agriculture and food security,Londhe S,Journal Article,2016-07-08,#/11463/32015,https://doi.org/10.4018/IJDCCS.2016010103,climate change; crop yield; food security; agricultural productivity,,,,,South Asia,,,,"Many studies have demonstrated the sensitivities of crop yield to a changing climate, a major challenge for the agricultural research community is to relate these findings to the wider societal concern with food security. Apart from few exceptions, the likely impacts of climate change on agricultural sector in the future are not understood in any great depth. There are many concerns as to how changes in temperature, rainfall and atmospheric Carbon Dioxide concentrations will interact in relation to agricultural productivity. The present article is an attempt to distil about the likely effects of climate change on food security and nutrition in coming decades. The consequences of climate change on various important aspects of agriculture are discussed and summarized. The article also discusses the analysis on the possible mitigation measures and adaptations for agriculture production in the future climate change scenarios.",International Journal of Disease Control and Containment for Sustainability (IJDCCS); 1 (1),2469-4371,1,1,,,English,en,Open Access,,,32-46
"Farmers’ perceptions and matching climate records jointly explain adaptation responses in four communities around Lake Tana, Ethiopia","Darabant, A.; Habermann, B.; Sisay, K.; Thurnher, C.; Worku, Y.; Damtew, S.; Lindtner, M.; Burrell, L.; Abiyu, A.",Journal Article,2020-10-15,#/11463/19820,https://doi.org/10.1007/s10584-020-02889-x,farmers; rural communities; adaptation; climate; data analysis,Agroforestry,Gondar Agricultural Research Centre; University of Natural Resources and Life Sciences Vienna; Amhara Regional Agricultural Research Centre; Bahir dar University,World Agroforestry Centre (ICRAF),,East Africa,Ethiopia,,,"Farmers’ climate perceptions are responsible for shaping their adaptive responses and are thus essential to consider for the design of strategies to reduce vulnerability and increase resilience. In this study, we collected social data in four communities in the central Ethiopian Highlands on farmers’ climate perceptions and adaptations using group discussions and PRA tools. We related these to climate data spanning 30 years (1981 to 2010), consisting of daily minimum temperature, maximum temperature and precipitation, modelled for the four communities using global databases and regional meteorological data. We found that farmers’ climate perceptions showed considerable spatial and gender differences. Perceptions matched well with records describing climate variability, particularly in terms of the shortening and the increased variability of the rainy season, as well as the occurrence of extreme drought in recent years. Climate change, described by long-term average increases in temperature and decreases in precipitation, was perceived, but with subordinate priority. Perceived climate impacts included reduced crop yield, increased occurrence of pests and diseases and increased crop damage by extreme events and poverty. Adaptations were mainly land based and included agronomic measures, land management and ecosystem restoration. Furthermore, important gender differences in adaptation could be traced back to typical gender roles. Results highlight the risk of broadcast adaptation programs, such as the government-propagated combination of mineral fertilizers and early maturing crop varieties. Most importantly, they point to the need to consider climate variability, site- and gender-specific perceptions and priorities.",Climatic Change,0165-0009,163,,,ISI Journal,English,en,Gold open access,,,481-497
Wild Foods: Safety Net or Poverty Trap? A South African Case Study,"Paumgarten, F; Locatelli, B.; Witkowski, E.T.F.",Journal Article; ISI,2018-02-28,#/11463/10263,https://doi.org/10.1007/s10745-018-9984-z,food security; climate change; livelihoods,Food Security and Nutrition,,Centre de Coopération Internationale en Recherche Agronomique pour le Développement (CIRAD),,South Africa,Republic of South Africa,,Refereed,"Wild foods contribute towards the food security of an estimated one billion people. In light of expectations of the contribution of wild foods to sustainable and climate-resilient livelihoods and widespread evidence of their consumption, their contribution to households’ diets requires a more nuanced understanding, specifically with respect to their safety net function during food shortages. Data were collected from two villages in Venda, South Africa, selected due to differences in mean annual precipitation. Semi-structured interviews were administered to 170 households and a Participatory Rural Appraisal was conducted to assess the influence of multiple variables, including household characteristics and site, on wild food use. Household archetypes were defined based on the frequency of consumption in response to increasing food scarcity. Our findings suggest limitations to the safety net function of wild foods including seasonal fluctuations in availability and decreased availability during extreme events, with dependent households decreasing their consumption frequency in response to food scarcity. Given this potential poverty trap, further research is required, particularly in terms of when the safety net function of wild foods may be weak or detrimental to the livelihoods of the vulnerable.",Human Ecology,0300-7839,46,2,,ISI Journal,English,en,Closed access,,,183-195
Brief review on climate change and tropical peatlands,"Leng, L.Y.; Ahmed, O.H.; Jalloh, M.B.",Journal Article,2019-03-01,#/11463/17304,https://doi.org/10.1016/j.gsf.2017.12.018,climate change; peatlands; tropics; microbial communities; peat soils; precipitation; atmospheric deposition; carbon; methane; decomposition,Wetlands and Blue Carbon,Universiti Malaysia Perlis; Universiti Putra Malaysia Bintulu Sarawak Campus; Universiti Putra Malaysia; Universiti Malaysia Sabah,,,Southeast Asia,,,,"In 2008, the very extensive tropical peats were estimated to be about 182 million ha spanning South America, Asia and Africa. About 20.3% (36.9 million ha) of this area exist in Asia. Peats are classified based on their degree of decomposition, namely Fibrists, Hemists, Saprists and Folists. This makes them different in characteristics. The activities of microorganisms vary in different types of peat due to, for example, the sapric layer of well humified peat can provide water and food to microorganisms during heat stress. In another scenario, deeper peat is older and typically has lower levels of labile carbon to provide substrate for microbes compared to surface peat. A complete understanding of the microbial communities in different layers of peat is essential as microorganisms play major roles in peat decomposition and are important to ecosystem processes. These peats are a very important global carbon (C) store or reserve and could severely impact climate change if not managed well. Peatlands can store as much as 40 to 90 Gt C. Mis-management of peats could severely impact the environment particularly the emission of carbon into the atmosphere. For instance, clearing of peatlands using fire has been reported to release an estimated 88 t C ha −1 to the atmosphere. There are several factors which influence the environmental consequences of tropical peat especially in relation to climate change. The main influences are: (i) changes in temperature, (ii) changes in precipitation or rainfall, (iii) changes in atmospheric composition, and (iv) fire and haze. This paper is a brief review on these four influences in relation to climate change. It is apparent from the brief review that there is a need for continued short and long-term research to better understand tropical peats and how they affect our climate. This will hopefully provide the basis for predicting better what could happen under various scenarios. © 2018 China University of Geosciences (Beijing) and Peking University",Geoscience Frontiers,1674-9871,10,2,,ISI Journal,english,en,Gold open access,,,373-380
The Unseen Effects of Deforestation: Biophysical Effects on Climate,"Lawrence, D.; Coe, M.; Walker, W.; Verchot, L.V.; Vandecar, K.",Journal Article,2022-03-24,#/11463/24089,https://doi.org/10.3389/ffgc.2022.756115,deforestation; climate change; carbon sinks; carbon sequestration; forests; biophysics; environmental policy; temperature,,Alliance of Bioversity International and CIAT; University of Virginia; Woodwell Climate Research Center,Alliance of Bioversity International and CIAT,,,,,,"Climate policy has thus far focused solely on carbon stocks and sequestration to evaluate the potential of forests to mitigate global warming. These factors are used to assess the impacts of different drivers of deforestation and forest degradation as well as alternative forest management. However, when forest cover, structure and composition change, shifts in biophysical processes (the water and energy balances) may enhance or diminish the climate effects of carbon released from forest aboveground biomass. The net climate impact of carbon effects and biophysical effects determines outcomes for forest and agricultural species as well as the humans who depend on them. Evaluating the net impact is complicated by the disparate spatio-temporal scales at which they operate. Here we review the biophysical mechanisms by which forests influence climate and synthesize recent work on the biophysical climate forcing of forests across latitudes. We then combine published data on the biophysical effects of deforestation on climate by latitude with a new analysis of the climate impact of the CO2 in forest aboveground biomass by latitude to quantitatively assess how these processes combine to shape local and global climate. We find that tropical deforestation leads to strong net global warming as a result of both CO2 and biophysical effects. From the tropics to a point between 30°N and 40°N, biophysical cooling by standing forests is both local and global, adding to the global cooling effect of CO2 sequestered by forests. In the mid-latitudes up to 50°N, deforestation leads to modest net global warming as warming from released forest carbon outweighs a small opposing biophysical cooling. Beyond 50°N large scale deforestation leads to a net global cooling due to the dominance of biophysical processes (particularly increased albedo) over warming from CO2 released. Locally at all latitudes, forest biophysical impacts far outweigh CO2 effects, promoting local climate stability by reducing extreme temperatures in all seasons and times of day. The importance of forests for both global climate change mitigation and local adaptation by human and non-human species is not adequately captured by current carbon-centric metrics, particularly in the context of future climate warming.",Frontiers in Forests and Global Change,2624-893X,5,,,ISI Journal,English,en,Gold Open Access,Attribution 4.0,,756115
"Interactions between labile carbon, temperature and land use regulate carbon dioxide and methane production in tropical peat","Girkin, N.T.; Dhandapani, S.; Evers, S.; Ostle, N.; Turner, B.L.; Sjögersten, S.",Journal Article,2020-01-01,#/11463/17378,https://doi.org/10.1007/s10533-019-00632-y,tropical forests; peatlands; carbon sinks; organic carbon; land use; carbon dioxide; methane; climate change,Wetlands and Blue Carbon,University of Nottingham; Liverpool John Moores University; Tropical Catchment Research Initiative; Crops for the Future; University of Lancaster; Smithsonian Tropical Research Institute,,,Central America,Panama,,,"Tropical peatlands are a significant carbon store and contribute to global carbon dioxide (CO2) and methane (CH4) emissions. Tropical peatlands are threatened by both land use and climate change, including the alteration of regional precipitation patterns, and the 3–4 °C predicted warming by 2100. Plant communities in tropical peatlands can regulate greenhouse gas (GHG) fluxes through labile carbon inputs, but the extent to which these inputs regulate the temperature response of CO2 and CH4 production in tropical peat remains unclear. We conducted an anoxic incubation experiment using three peat types of contrasting botanical origin to assess how carbon addition affects the temperature response (Q10) of CO2 and CH4 production. Peats from forested peatlands in Panama and Malaysia, and a converted oil palm and pineapple intercropping system in Malaysia, differed significantly in redox potential, total carbon and carbon: nitrogen ratio. The production of CO2 and CH4 varied significantly among peat types and increased with increasing temperature, with Q10s for both gases of 1.4. Carbon addition further increased gas fluxes, but did not influence the Q10 for CO2 or CH4 production or significantly affect the Q10 of either gas. These findings demonstrate that the production of CO2 and CH4 in tropical peat is sensitive to warming and varies among peat types, but that the effect of root inputs in altering Q10 appears to be limited. © 2019, The Author(s).",Biogeochemistry,0168-2563,147,1,,ISI Journal,english,en,Gold open access,,,87-97
"Environmental stratification to model climate change impacts on biodiversity and rubber production in Xishuangbanna, Yunnan, China","Zomer, R.; Trabucco, A.; Lang, R.; Chen, H.; Metzger, M.; Samjgl, A.; Bekschafer, P.; Wang, M.; Xu, J.",Journal Article; ISI,2014-01-01,#/11463/10976,https://doi.org/10.1016/j.biocon.2013.11.028,climate change; biodiversity; rubber plants,,World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,East Asia,China,,,"An analysis and multi-model approach, based on a statistically derived Global Environmental Stratification (GEnS) and using a downscaled ensemble (n = 63) of CIMP5 Earth System Models applied across four representative concentration pathways (RCP), has been used to project the impact of climate change on spatial distribution of bioclimatic zones and ecosystems within the biodiverse rich Xishuangbanna Prefecture, Yunnan Province, by the year 2050. Four bioclimatic zones and 9 strata were identified, overlaid with protected areas, and associated with on-going landuse change, i.e. a rapid increase in rubber plantation from 8% to 22% of total area between 2002 and 2010. Significant changes in the areal extent and distribution of all zones and strata are projected, with an averaged mean annual temperature increase ranging from 1.6 °C to 2.4 °C. By 2050, there are significant geographical shifts in all identified strata, with an average upward shift of 309 m of elevation for all strata. On average, more than 75% of Xishuangbanna is predicted to shift to a different zone, with 96% shifting to a different stratum. The area conducive to rubber plantations, currently limited by climatic conditions, expands to nearly 75% of the total area. Climatic change potentially removes the bioclimatic barriers to further expansion of rubber plantations within the area and increases pressure on remaining biodiversity both within and outside of protected areas. The analysis provides the basis for understanding potential impacts of changing bioclimatic conditions on managed and unmanaged ecosystems and landuse change trends, within the context of ongoing rapid change and agricultural expansion in the area. Current efforts to conserve forests, biodiversity and traditional landuse systems require an improved understanding of both the projected climatic changes and the responses of biodiversity and traditional agricultural systems to changing conditions.",Biological Conservation,0006-3207,170,,,ISI Journal,English,en,Closed Access,,,264-273
Transforming climate science into usable services: The effectiveness of co-production in promoting uptake of climate information by smallholder farmers in Senegal,"Chiputwa, B.; Wainaina, P.; Nakelse, T.; Makui, P.; Zougmoré, R.B.; Ndiaye, O.; Minang, P.A.",Journal Article,2020-12-01,#/11463/20427,https://doi.org/10.1016/j.cliser.2020.100203,agricultural management; agricultural production; climate change; farmers attitude; information management; smallholder; weather,Climate-Smart Agriculture,"World Agroforestry Centre (ICRAF); Food and Agriculture Organization of the United Nations; CGIAR Research Program on Climate Change, Agriculture and Food Security (CCAFS); National Civil Aviation and Meteorology Service in Senegal",,,West Africa,Senegal,,,"Does the provision of weather and climate information services (WCIS) enhance farmer's use of forecasts in informing farm decisions? This paper assesses the effectiveness of the Multi-disciplinary Working Group (MWG) – a WCIS co-production initiative in Senegal in influencing farmers uptake of weather and climate information (WCI). WCIS are increasingly gaining importance and widely touted as critical in helping farmers adapt to climate variability. While there have been various WCIS initiatives producing and translating climate data into tailored information and knowledge in different parts of the world, there is hardly any rigorous evidence assessing their effectiveness in improving uptake. In this assessment, we use innovative survey methods and apply rigorous analytical approaches that control for self-selection bias to establish causal linkages between the MWG and use of WCIS. Our findings indicate that MWGs are positively associated with farmers’ awareness, access and uptake of WCI resulting in farm management responses depending on the type of information used. The presence of MWGs generally increases farmer's awareness of WCI by 18%, access by 12% and uptake by 10%. Furthermore, use of seasonal forecasts is generally associated with a higher proportion of farmers using improved seed, fertilizers and manure, but negatively with crop diversification within MWG locations. This suggests that participatory approaches in the provision of tailored climate information and advisory services can lead to higher uptake and use among farmers in informing farm management responses for better adaptation to climate change. We highlight lessons for improved evaluations of WCIS in future.",Climate Services,2405-8807,20,,,ISI Journal,English,en,Gold Open Access,,,100203
