title,isbn,issn,first author,other authors,publisher,journal,date issued,extent,abstract,language,subjects,subject source,doi,fulltext link,Column18
Rainfed rice management adaptation to the increased climate variability in Côte d'Ivoire: application of ORYZA (v3) model to the bimodal areas of San-Pedro and Dimbokro,,,"Amani, K.","Li, T.;Touré, A.;Henri, G.;Alphonse, B.;Augustin, N. K.;Brou, K.;N'Guessan, A.;Albert, G. B. T.",,International Journal of Innovation and Applied Studies ,2017,"volume 20, no. 3; 792-803, ill. Ref.","The increasing rainfall variability in West Africa is a great challenge for crop productivity in small-scale farming systems, thus jeopardizing food security. Rainfed rice is particularly sensitive to inconsistent rainfall, especially during the reproductive stage. It is, therefore, necessary to develop management practices suited to the change of rainfall pattern over the growth seasons. In this study, the modeling technology with the rice model ORYZA (v3) was used to identify appropriate rainfed rice growing seasons for a better adaptation of farmers to climate variability. The potential yields, the favorable sowing periods, the optimum sowing dates, and the attainable yields of two contrasted cultivars were determined. After successfully calibrating and validating the model, it predicted potential yields of 5.5 to 6.5 tons/ha for the early maturing variety WAB56-104 (90-100 days), while potential yields of 4 to and 5.5 tons/ha was predicted for the late maturing variety CG14 (115-125 days). In rainfed conditions, two favorable sowing periods were identified from the model scenario analysis. The first period spans from late February to late April and the second from late July to early September. Farmers can double their actual yield of 1.5 tons/ha if they follow the recommended sowing dates and good agricultural practices. Indeed, the yield of 3.5 tons/ha was found with the variety WAB 56-104 sown on around 16 April in San-Pedro and around 2 April in Dimbokro. The yield of 3 tons/ha for the variety CG14 could be achieved if the sowing is done on around 18 March in San-Pedro and around 21 March in Dimbokro.",English,,Rice thesaurus,,https://drive.google.com/file/d/1Tis7uciQoTNf3RgOZ0DeJmIoPFddGbcr/view,JA
Climate resilient agronomy for sustainable rice production in rainfed environment of Eastern India,,,"Singh, S.","Srivastava, A. K;Dar, M. H.;Zaidi, N. W.;Singh, U. S.",,SATSA Mukhapatra- Annual Technical Issue ,2017,"volume 21; pages 1-20, ill. Ref.","Sustainable rice production for feeding increasing population is a primary global challenge for food security. Frequent dry spell, erratic rainfall and expanding salinity are further aggravating this problem. Recently, with the use of modern molecular techniques, stress tolerant rice varieties (STRVs) have been developed at International Rice Research Institute and released in India, Bangladesh, and Nepal in collaboration with National Agricultural Research and Extension System (NARES) partners, and made available to the farmers for cultivation. Studies have suggested that these newly available STRVs possess remarkably higher grain yield potentials than their recurrent parents in rainfed stress-prone environment. Yield potential of these varieties can be further enhanced up to 11 ha-1 by using smart agronomic interventions. The resilience of rice production systems can be increased by proper dissemination of STRVs in the target areas. This review addresses possible adaptation and mitigation strategies for making rice production sustainable and more climate-smart, based on cost-effective management options and production systems in the context of progressively changing climate.",English,,Rice thesaurus,,https://www.cabdirect.org/cabdirect/FullTextPDF/2017/20173377679.pdf,JA
Raising rice productivity and sustainability for smallholders of south Asia under changing climate,,,"Srivastava, A. K.","Dar, S. R.;Kumar, V.;Singh, A.;Singh, S.",,Current Advances in Agricultural Sciences  ,2017,"volume 9, no. 2; pages 132-144.",,English,Climatic change;Climatic factors;Productivity;Small farms;South Asia;Sustainability,Rice thesaurus,https://doi.org/10.5958/2394-4471.2017.00027.2,https://drive.google.com/file/d/1Iwy5ozQ4FAGXuOeeNDBv_vKOlbLb8o9W/view,JA
Breeding efforts to mitigate damage by heat stress to spikelet sterility and grain quality,,,"Ishimaru, T.","Hirabayashi, H.;Sasaki, K.;Ye, C. R.;Kobayashi, A.",,Plant Production Science,2016,"volume 19, no. 1, pages 12-21, ill. Ref.","Global warming is predicted to aggravate the risk of unstable crop production. It is of great concern that damage to rice spikelet sterility and grain quality will increase, resulting in yield and economic losses. To secure the global food supply and farmers’ income, the development of rice cultivars with heat resilience is a pressing concern. Regarding spikelet sterility, rice cultivars with heat tolerance at different growth stages have been identified in recent years. The early-morning flowering (EMF) trait is effective in heat escape because it shifts the time of day of flowering to earlier in the morning when it is cooler. Although varietal differences are very small, there are some genetic resources for EMF in wild rice accessions. Regarding heat-induced grain chalkiness, heat-tolerant japonica cultivars for mitigating white-back type of chalky grains (WBCG) were found. Quantitative trait loci for heat tolerance at flowering, EMF, and for WBCG in grain quality have been mapped on the rice chromosomes. Further genetic efforts have been successfully connected to the development of near-isogenic lines for each trait with tagged molecular markers. These breeding materials are quite unique and useful in facilitating marker-assisted breeding toward the development of heat-resilient rice in terms of spikelet sterility and grain quality",English,Plant breeding;Heat;Heat stress;Heat tolerance;Grain quality;Climatic factors;Climatic change;Grain quality,Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus,https://doi.org/10.1080/1343943X.2015.1128113,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlASzNRamhHdDBLZlk/view,H
Resilience of rice (Oryza spp.) pollen germination and tube growth to temperature stress,,,"Coast, O.","Murdoch, A. J.;Ellis, R. H.;Hay, F. R.;Jagadish, K. S. V.",,"Plant, Cell and Environment",2016,"volume 39; pages 26-37, ill. Ref.",,English,Climatic change;Climatic factors;Germination;Oryza glaberrima;Pollen;Temperature,Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus,https://doi.org/10.1111/pce.12475,https://drive.google.com/a/irri.org/file/d/0ByGk26Nk_MlANUFyWV8wSW5ONWM/view,H
Quantifying changes to the global warming potential of rice wheat systems with the adoption of conservation agriculture in northwestern India,,,"Tirol-Padre, A.","Rai, M. ;Kumar, V.;Gathala, M. ;Sharma, P. C.;Sharma, S.;Nagar, R. K.;Deshwal, S.;Singh, L. K.;Jat, H. S.;Sharma, D. K.;Wassmann, R.;Ladha, J.",,"Agriculture, Ecosystems & Environment  ",2016,"volume 219, pages 125-137, ill. Ref.",,English,Climatic change;Conservation agriculture;Crop rotation;Cropping systems;India;Irrigation;Nitrogen fertilizers;Productivity;Rice-wheat system,Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus,https://doi.org/10.1016/j.agee.2015.12.020,https://drive.google.com/a/irri.org/file/d/0ByGk26Nk_MlAMTdxQkRqQm1PYkE/view,JA
Mapping additional QTLs from FR13A to increase submergence tolerance in rice beyond SUB1,,,"Gonzaga, Z. J. C.","Carandang, J.;Sanchez, D. L.;Mackill, D. J.;Septiningsih, E. M.",,Euphytica  ,2016,"volume 209; pages 627-636, ill. Ref.","Submergence is a common naturally occurring disaster in rice production in South and Southeast Asia. The development of mega-varieties with tolerance conferred by the SUB1 gene on chromosome 9 derived from FR13A that can withstand up to 2 weeks of complete submergence has been one of the best solutions. However, the recent severe conditions of flooding because of climate change, which has been predicted to become worse in the near future, calls for the development of an improved variety with superior tolerance of submergence. To search for novel quantitative trait loci (QTLs) that can complement the SUB1 gene, recombinant inbred lines (RILs) derived from an IR42/FR13A mapping population were explored. Five QTLs were detected on chromosomes 1, 4, 8, 9, and 10, four of which were from FR13A and one was from IR42. The study confirms the SUB1 QTL on chromosome 9 with a maximum LOD score of 19.51 and R2 of 53.60 %. Additional novel QTLs coming from FR13A on chromosomes 1, 8, and 10 were identified with LOD scores of 5.16, 3.56, and 3.85 and R2 of 23.33, 14.98, and 15.80 %, respectively. Interestingly, lines without SUB1 were still tolerant, with a maximum survival rate up to 95 % because of the presence of these additional QTLs. The non-SUB1 QTLs identified have great potential to enhance tolerance as evidenced by the superior tolerance of FR13A compared with that of the developed Sub1 lines. By transferring selected potential QTLs that are mostly additive to SUB1, it is hoped that crop damage from severe flooding can be significantly decreased",English,Chromosome mapping;Climatic change;Climatic factors;Production;Quantitative trait loci;Submergence;Submergence tolerance;Varieties,Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus;Rice thesaurus,https://doi.org/10.1007/s10681-016-1636-z,https://drive.google.com/a/irri.org/file/d/0ByGk26Nk_MlAVncyakVodVg2MXM/view,JA
Climate ready rice: Augmenting drought tolerance with best management practices,,,"Haefele, S. M.","Kato, Y.;Singh, S.",,Field Crops Research,2016,"(e-first): 10 pages, ill. Ref.","Drought stress is one of the most important limitations for rice production in rainfed lowland systems. This is the case in rainfed systems now, and will probably even be more important in the near future given the changing climate. Recent advances in rice breeding provide much improved drought tolerance in modern rice cultivars as has already been shown in farmers’ fields. To accompany these new cultivars, complementary crop management practices and diversified production systems have an important role to help farmers minimize risks and raise productivity and profitability. To evaluate the options we reviewed a wide range of studies investigating management options for rainfed lowland rice with a specific focus on drought-prone environments. To introduce the environment we provide an overview of general characteristics with a more detailed analysis of soil quality in rice-based rainfed lowlands around the world. Reviewed management technologies to mitigate drought stress include water management options, the choice of appropriate germplasm, adjusted cropping systems, improved nutrient management, different crop establishment options, better field management and soil amelioration. Several of these technologies do offer important advantages but their usefulness and applicability is dependent on site and system characteristics. Thus, a combination of germplasm × environment × management is necessary to choose the best management for a given rainfed lowland system. Getting this right can transform rice-based systems in rainfed lowlands, make them more productive, and increase and stabilize farmers’ income.",English,,Rice thesaurus,https://doi.org/10.1016/j.fcr.2016.02.001,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAckpGZ240WWdNZUE/view,JA
Genome-wide prediction models that incorporate de novo GWAS are a powerful new tool for tropical rice improvement,,,"Spindel, J. E.","Begum, H. ;Akdemir, D. ;Collard, B. ;Redoña, E.;Jannink, J. L.;McCouch, S.",,Heredity,2016,"volume 116, pages 395-408, ill. Ref.","To address the multiple challenges to food security posed by global climate change, population growth and rising incomes, plant breeders are developing new crop varieties that can enhance both agricultural productivity and environmental sustainability. Current breeding practices, however, are unable to keep pace with demand. Genomic selection (GS) is a new technique that helps accelerate the rate of genetic gain in breeding by using whole-genome data to predict the breeding value of offspring. Here, we describe a new GS model that combines RR-BLUP with markers fit as fixed effects selected from the results of a genome-wide-association study (GWAS) on the RR-BLUP training data. We term this model GS + de novo GWAS. In a breeding population of tropical rice, GS + de novo GWAS outperformed six other models for a variety of traits and in multiple environments. On the basis of these results, we propose an extended, two-part breeding design that can be used to efficiently integrate novel variation into elite breeding populations, thus expanding genetic diversity and enhancing the potential for sustainable productivity gains.",English,,Rice thesaurus,https://doi.org/10.1038/hdy.2015.113,https://drive.google.com/a/irri.org/file/d/0ByGk26Nk_MlATFNpUFh4WGhJdjg/view,JA
An integrated approach to maintaining cereal productivity under climate change,,,"Reynolds, M. P.","Quilligan, E.;Aggarwal, P. K.;Bansal, K. C.;Cavalieri, A. J.;Chapman, S. C.;Chapotin, S. M.;Datta, S. K.;Duveiller, E.;Gill, K. S.;Jagadish, K. S. V.;Joshi, A. K.;Koehler, A. K.;Kosina, P.;Krishnan, S.;Lafitte, R.;Mahala, R. S.;Muthurajan, R.;Paterson, A. H.;Prasanna, B. M.;Rakshit, S.;Rosegrant, M. W.;Sharma, I.;Singh, R. P.;Sivasankar, S.;Vadez, V.;Valluru, R.;Prasad, P. V. V.;Yadav, O. P.",,Global Food Security ,2016,"volume 8; pages 9-18, ill. Ref.","Wheat, rice, maize, pearl millet, and sorghum provide over half of the world's food calories. To maintain global food security, with the added challenge of climate change, there is an increasing need to exploit existing genetic variability and develop cultivars with superior genetic yield potential and stress adaptation. The opportunity to share knowledge between crops and identify priority traits for future research can be exploited to increase breeding impacts and assist in identifying the genetic loci that control adaptation. A more internationally coordinated approach to crop phenotyping and modeling, combined with effective sharing of knowledge, facilities, and data, will boost the cost effectiveness and facilitate genetic gains of all staple crops, with likely spill over to more neglected crops.",English,,Rice thesaurus,https://doi.org/10.1016/j.gfs.2016.02.002,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAOG5mMEhTeUdoYzA/view,JA
"High temperature enhances the resistance of cultivated African Rice, Oryza glaberrima, to bacterial blight",,,"Dossa, G. S.","Oliva, R.;Maiss, E. ;Vera Cruz, C.;Wydra, K.",,Plant Disease,2016,"volume 100, no. 2; pages 380-387, ill. Ref.","Rice bacterial blight (BB) is caused by Xanthomonas oryzae pv. oryzae and is responsible for substantial yield loss worldwide. Host resistance remains the most feasible control measure. However, pathogen variability leads to the failure of certain resistance genes to control the disease, and climate change with high amplitudes of heat predisposes the host plant to pathogen invasion. Due to pressure in natural selection, landrace species often carry a wide range of unique traits conferring tolerance of stress. Therefore, exploring their genetic background for host resistance could enable the identification of broad-spectrum resistance to combined abiotic and biotic stresses. Nineteen Oryza glaberrima accessions and O. sativa rice variety SUPA were evaluated for BB resistance under high temperature (35 and 31°C day and night, respectively) using 14 X. oryzae pv. oryzae strains originated from the Philippines. Under normal temperature, most of the accessions showed resistance to 9 strains (64.3%) and accession TOG6007 showed broad-spectrum resistance to 12 strains (85.7%). Under high temperature, most accessions showed a reduction in BB disease, whereas, accession TOG5620 showed disease reduction from all the X. oryzae pv. oryzae strains under high temperature. Molecular characterization using gene-based and linked markers for BB resistance genes Xa4, xa5, Xa7, xa13, and Xa21 revealed the susceptible alleles of Xa4, xa5, xa13, and Xa21 in O. glaberrima. However, no allele of Xa7 was detected among O. glaberrima accessions. Our results suggest that O. glaberrima accessions contain a BB resistance different from the Xa gene type. Genome-wide association mapping could be used to identify quantitative trait loci that are associated with BB resistance or combined BB resistance and high-temperature tolerance",English,,Rice thesaurus,https://doi.org/10.1094/PDIS-05-15-0536-RE,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAS1NGZnM0QkszWGs/view,H
Applying ecological engineering for sustainable and resilient rice production systems,,,"Horgan, F. G.","Ramal, A. F.;Bernal, C. C.;Villegas, J. M.;Stuart, A. M.;Almazan, M. L. P.",,Procedia Food Science,2016,"volume 6, pages 7-15, ill. Ref.","Global changes will affect rice ecosystems at local levels. Although issues of climate change have received most attention, other global changes will have more immediate impacts on crop productivity and health. These changes include the phenomenal advances in modern industrial output, especially in China and India, in mechanization, in communications technology and advertizing, in transportation networks and connectivity, as well as demographic shifts toward urban  centers. Driven by policies around food security, market impacts on crop production, and trade regulations, these changes will define crop production systems into the future, impacting rice biodiversity and ecosystem function and giving rise to new pest and disease scenarios. This paper presents a framework for a holistic approach to ‘rice ecosystem health’ aimed at securing food production while protecting farmer, consumer and ecosystem health. Recent advances in environmentally friendly agriculture, including ecological engineering, are central to the sustainability and resilience of rice ecosystems; but require support from policy to ensure their best effects. This paper introduces some recent advances in the methods of ecological engineering based on research conducted in the Philippines.",English,,Rice thesaurus,https://doi.org/10.1016/j.profoo.2016.02.002,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAelA3VTgyOTh6ZmpqTmRlWHpONmljMDhZekNZ/view,H
"How well can we assess impacts of agricultural land management changes on the total greenhouse gas balance (CO2, CH4 and N2O) of tropical rice-cropping systems with a biogeochemical model?",,,"Kraus, D.","Weller, S.;Klatt, S.;Santabarbara, I.;Haas, E.;Wassmann, R.;Werner, C.;Kiese, R.;Butterbach-Bahl, K.",,"Agriculture, Ecosystems and Environment",2016,"volume 224; pages 104-115, ill. Ref.","Paddy rice is the main cropping system in Southeast Asia. However, water scarcity arising from competition from other sectors, rainfall variability and climate change increasingly challenges global rice production. One option to adapt to lower water availability is switching from paddy rice to less irrigation intensive upland cropping systems. Such land management change (LMC) is likely to significantly affect ecosystem carbon and nitrogen cycling and its greenhouse gas (GHG) balance. This study evaluates how well the ecosystem model LandscapeDNDC is able to simulate observed emissions of methane (CH4), nitrous oxide (N2O) and carbon dioxide (CO2) from different tropical cropping rotations, i.e., double- and triple-cropped paddy rice, aerobic rice–paddy rice and maize–paddy rice (rice: O. sativa, maize: Zea mays) and how management changes to rice dominated lowland systems will affect the GHG balance on short (a few years) and long (several decades) time scales.",English,,Rice thesaurus,https://doi.org/10.1016/j.agee.2016.03.037,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAWTVDUmtQcjhEZ28/view,JA
Model biases in rice phenology under warmer climates,,,"Zhang, T.","Li, T.;Yang, X.;Simelton, E.",,Scientific Reports,2016,"volume 6 no. 27355, pages 1-9, ill. Ref.","Climate-induced crop yields model projections are constrained by the accuracy of the phenology simulation in crop models. Here, we use phenology observations from 775 trials with 19 rice cultivars in 5 Asian countries to compare the performance of four rice phenology models (growing-degree-day (GDD), exponential, beta and bilinear models) when applied to warmer climates. For a given cultivar, the difference in growing season temperature (GST) varied between 2.2 and 8.2 °C in different trials, which allowed us to calibrate the models for lower GST and validate under higher GST, with three calibration experiments. The results show that in warmer climates the bilinear and beta phenology models resulted in gradually increasing bias for phenology predication and double yield bias per percent increase in phenology simulation bias, while the GDD and exponential models maintained a comparatively constant bias. The phenology biases were primarily attributed to varying phenological patterns to temperature in models, rather than on the size of the calibration dataset. Additionally, results suggest that model simulations based on multiple cultivars provide better predictability than using one cultivar. Therefore, to accurately capture climate change impacts on rice phenology, we recommend simulations based on multiple cultivars using the GDD and exponential phenology models.",English,,Rice thesaurus,https://doi.org/10.1038/srep27355,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlANGN6TXNxUkt4Wjg1VG1xaFdNaWtMX1ZmMzF3/view,H
Implications of high temperature and elevated CO2 on flowering time in plants,,,"Jagadish, K.","Bahuguna, R. N.;Djanaguiraman, M.;Gamuyao, R.;Prasad, P. V. V.;Craufurd, P. Q.",,Frontiers in Plant Science,2016,"(provisional pdf copy); 31 pages, ill. Ref.","Flowering is a crucial determinant for plant reproductive success and seed-set. Increasing temperature and elevated carbon-dioxide (e[CO2]) are key factors of climate change factors that could affect plant fitness and flowering related events. Addressing the effect of these environmental factors on flowering events such as time of day of anthesis (TOA) and flowering time (duration from germination till flowering) is critical to understand the adaptation of plants/crops to changing climateenvironment and hence is the major aim of this review. Increasing ambient temperature is the major climatic factor that advances flowering time in crops and other plants, with a modest effect of e[CO2]. Integrated environmental stimuli such as photoperiod, temperature and e[CO2] regulating flowering time is discussed. The critical role of plant tissue temperature influencing TOA is highlighted and the need for crop models need to substitute ambient air temperature with canopy or floral tissue temperature to improve predictionsis recommended. Increasing ambient temperature is the major climatic factor that advances flowering time in crops and other plants, with a modest effect of e[CO2]. Integrated environmental stimuli such as photoperiod, temperature and e[CO2] regulating flowering time is discussed. A complex signaling network of flowering regulation with change in ambient temperature involving different transcription factors (PIF4, PIF5), flowering suppressors (HvODDSOC2, SVP, FLC) and autonomous pathway (FCA, FVE) genes, mainly from Arabidopsis Arabidopsis, provides a promising avenue tolead in improve our understandinging of the dynamics of flowering time under changing climate. Conversely, e[CO2]-Elevated CO2 mediated changes in tissue sugar status and a direct [CO2]-driven regulatory pathway involving a key flowering gene, MOTHER OF FT AND TFL1 (MFT), are emerging evidence for the role of e[CO2] in flowering time regulation.",English,,Rice thesaurus,https://doi.org/10.3389/fpls.2016.00913,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAU3BHLWpSX3dhbW8/view,JA
Rice response to simultaneous bacterial blight and drought stress during compatible and incompatible interactions,,,"Dossa, G. S.","Torres, R.;Henry, A.;Oliva, R.;Maiss, E.;Vera Cruz, C.;Wydra, K.",,European Journal of Plant Pathology ,2016,"volume 147; pages 115-127, ill. Ref.","Plant response to one type of stress can be affected by simultaneous exposure to a second stress, for example when abiotic and biotic stresses occur together. Ten rice genotypes comprising those with bacterial blight (BB) resistance (R) genes, drought quantitative trait loci (QTLs) plus a BB R gene, and BB susceptible genotypes, were subjected to mild and moderate drought stress and plants were inoculated with two Xoo strains (PXO99 and PXO145) to simulate the challenges rice crops face under simultaneous stress of drought and BB. Plant height and dry shoot biomass were significantly reduced by drought stress treatments. The BB disease lesion lengths varied according to rice genotypes and PXO99 Xoo multiplication and spread in planta was higher compared to that of PXO145, which generally decreased under mild drought stress. Rice genotype IRBB7 (Xa7) showed less Xoo spread and a reduced Xoo multiplication under drought stress compared to the well-watered control with PXO145. In contrast, in genotypes with a different BB R gene and/or drought QTLs [IRBB4 (Xa4), IR87705–6-9-B (Xa4 + qDYT  2.2 ), IR87707–445-B-B-B (Xa4 + qDYT  2.2  + qDYT  4.1 ) and IR87707–446-B-B-B (Xa4 + qDYT  2.2  + qDYT  4.1 )], Xoo multiplication and spread in planta was higher with drought stress. This study has shown that drought stress affected rice response to the BB pathogen and the response varied according to the rice genotype. It is concluded that evaluating rice varieties under combined abiotic and biotic stresses will be the best strategy to determine biotic stress resistance durability under climate change.",English,,Rice thesaurus,https://doi.org/10.1007/s10658-016-0985-8,https://drive.google.com/file/d/0ByGk26Nk_MlAY0FUUV9maGMxZ2c/view,JA
Reducing emissions from agriculture to meet the 2° C target,,,"Wollenberg, E. ","Richards, M. ;Smith, P.;Havlík, P. ;Obersteiner, M. ;Tubiello, F. N.;Herold, M.;Gerber, P. ;Carter, S.;Reisinger, A. ;van Vuuren, D.;Dickie, A. ;Neufeldt, H. ;Sander, B. O. ;Wassmann, R.;Sommer, R. ;Amonette, J. E.;Facucci, A. ;Herrero, M. ;Opio, C. ;Roman-Cuesta, R. ;Stehfest, E. ;Westhoek, H. ;Ortiz-Monasterio, I. ;Sapkota, T. ;Rufino, M. C. ;Thornton, P. K. ;Verchot, L.;West, P. C. ;Soussana, J. F. ;Baedeker, T. ;Sadler, M. ;Vermeulen, S. ;Campbell, B. M.",,Global Change Biology,2016,"(e-first copy): 19 pages, ill. Ref.","More than 100 countries pledged to reduce agricultural greenhouse gas (GHG) emissions in the 2015 Paris Agreement of the United Nations Framework Convention on Climate Change. Yet technical information about how much mitigation is needed in the sector vs. how much is feasible remains poor. We identify a preliminary global target for reducing emissions from agriculture of ~1 GtCO2e yr−1 by 2030 to limit warming in 2100 to 2 °C above pre-industrial levels. Yet plausible agricultural development pathways with mitigation cobenefits deliver only 21–40% of needed mitigation. The target indicates that more transformative technical and policy options will be needed, such as methane inhibitors and finance for new practices. A more comprehensive target for the 2 °C limit should be developed to include soil carbon and agriculture-related mitigation options. Excluding agricultural emissions from mitigation targets and plans will increase the cost of mitigation in other sectors or reduce the feasibility of meeting the 2 °C limit.",English,,Rice thesaurus,https://doi.org/10.1111/gcb.13340,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlARDRBcFFwcWJqd1k/view,JA
"Plant genetic resources: needs, rights, and opportunities",,,"Roa, C.","Hamilton, R. S.;Wenzi, P.;Powell, W.",,Trends in Plant Science,2016,,"Technological advances allow us to tap into genetic resources to address food and nutritional security in the face of population growth, urbanization, climate change, and environmental degradation. It is vital, particularly for developing countries, to ensure that the policy framework regulating access and use of genetic resources keeps pace with technological developments.",English,,Rice thesaurus,https://doi.org/10.1016/j.tplants.2016.06.002,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAVXFrYm1GTGR0THNXNEdpMmw1VF9RcnNodW5Z/view,H
"Exploring climate change perceptions, rainfall trends  and perceived barriers to adaptation in a drought  affected region in India",,,"Panda, A.",,,Natural Hazards,2016,"volume 84; pages 777-796, ill. Ref.","Climate change poses major challenges to agricultural systems in drought prone regions of the world especially in the areas with high poverty, lack of irrigation facilities and low productivity. Towards this it is essential to understand the climate change perceptions, adaptation practices and barriers to effective adaptation at household and community level. This paper using household surveys and focus group discussions in one of the drought prone areas of Odisha in India, explores various aspects of perception on climate change and barriers to adaptation. It also analyses the accuracy of perceptions based on rainfall data from nearest meteorological stations. The study reinforces the argument by earlier studies that the perception by people simply cannot be wrong because they may have a just a low correlation with underlying meteorological data. Results suggest that farmers increasingly perceive the changes in the rainfall and temperature patterns. However, when compared with the trend in actual rainfall data, perceptions on rainfall are found to more closely align with the results from the nearest station as compared to the station farther from it. Analysis revealed that seasonal rainfall variability has a profound influence on the farmers’ perceptions on climate change and drought in the study region. Farmers’ are still dependent on the traditional forecasting system because of the lack of access to modern climate forecasting and tailored information for agricultural practice. Although farmers in the study region are already adapting to the changing climate, the study finds that while lack of access to water and irrigation, information on climate change adaptation and early warning systems are major barriers to adaptation at the household level lack of government intervention, lack of knowledge on drought resistant crops and varieties and lack of renovation of water bodies and irrigation were mentioned as the major barriers at the community level. Findings from the paper argue for better adaptation planning at the local level incorporating local level perceptions and barriers to adaptation. In such areas local level planning can be crucial in enhancing the adaptive capacity of the farmers.",English,,Rice thesaurus,https://doi.org/10.1007/s11069-016-2456-0,https://drive.google.com/file/d/0ByGk26Nk_MlAanE1VExHYVIwZnc/view,H
Farmer-participatory evaluation of the wetting and drying (AWD) water saving technology n Southern Laos,,,"Lampayan, R. M.","Inthavong, T.;Vongthilath, S.;Quicho, E.;Eberbach, P.",,"The Lao Journal of Agriculture and Forestry, Papers submitted by CSE/2009/004/ Southern Laos Project",2014,"pages 121-135, ill. Ref.","Traditional lowland rice production in Asia requires much water and consumes more than 50% of all irrigation water. In Lao PDR, like other rice producing countries in Asia, water resources are becoming increasingly scarce due to effect of climate change and increasing competition on the use of water between sectors. Consequently, there is a need to develop alternative rice production systems that require less water and increase the water productivity. Alternate wetting and drying (AWD) irrigation in rice is a mature technology that decreases water use by 15 – 30% without reducing yields. AWD has been widely adopted in China and is becoming a recommended practice in water-scarce irrigated areas in South and Southeast Asia. In Lao PDR, AWD methodologies were introduced 2011 and 2012 at demonstration sites in the south of the country: Champone District in Savannakhet Province and Soukhuma District in Champassak Province. This paper discusses the results of the AWD demonstration trials of irrigated dry season rice production and attempts to determine farmers’ perceptions of AWD as an effective water-saving technology. Results indicated that yields between AWD trial plots and neighbouring farmers’ fields were similar, while water input was 19 – 25% lower than that of farmers fields. The positive results of the AWD trials (both physical benefits of using less water with the same yield and positive perception by the farmers) through farmer- participatory development and extension activities employed in this study to demonstrate the benefits of AWD can be translated into a blueprint to guide dissemination activities of AWD in lowland irrigated areas in the country. However, the speed and extent of adoption may depend very much on the long-term commitments of the country’s extension systems, including DAFO and PAFO offices.",English,,Rice thesaurus,,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlATElhTFBLVFZIbTA/view,JA
Temperature explains the yield difference of double-season rice between tropical and subtropical environments,,,"Wang, D. P.","Laza, M. R. C.;Cassman, K. G.;Huang, J. L.;Nie, L. X.;Centeno, G. S.;Cui, K. H.;Wang, F.;Li, Y.;Peng, S. B.",,Field Crops Research ,2016,"(e-first copy): 9 pages, ill. Ref.","Crop yields are largely influenced by air temperature and solar radiation, but the individual effects of these weather variables are difficult to distinguish because they are often not independent. Here, we demonstrate a large effect of temperature on rice grain yield when solar radiation and crop growth duration were not confounding factors for explaining yield difference across two locations in the tropical and subtropical environments. We found that grain yield of double-season rice crops in the subtropical environment of Wuxue County, Hubei Province, China was 9–66% higher than that in the tropical environment of International Rice Research Institute (IRRI), Philippines. Such yield difference was not caused by the difference in crop growth duration from transplanting to maturity. Biomass production rather than harvest index was responsible for the yield difference. Average daily minimum and maximum temperature from transplanting to maturity at IRRI was 3.4 and 1.9 °C higher than that at Wuxue, respectively, whereas average daily solar radiation at Wuxue was lower or similar to that at IRRI. Crop’s efficiency in converting solar radiation into biomass (i.e. radiation use efficiency, RUE) at Wuxue was 48% higher than that at IRRI, which was associated with the difference in temperature between the two environments. We concluded that lower rice yield in the tropical environment was associated with lower RUE, which was due to the higher temperature compared with the subtropical environment. Our results suggested the crop adaptation strategies for global climate changes should focus more on future warming.",English,,Rice thesaurus,https://doi.org/10.1016/j.fcr.2016.05.008,https://docs.google.com/a/irri.org/file/d/0ByGk26Nk_MlAYWJYZFI1LUV0UzQ/view,JA
