Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
Rainfall variability and farm households’ food insecurity in Burkina Faso: Nonfarm activities as a coping strategy,"Tankari, Mahamadou Roufahi",,,English,10.1007/s12571-019-01002-0,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7033,2020,Food Security,1876-4517,International Society for Plant Pathology; Springer,Food Security 12(3): 567-578,rain; rainfall patterns; households; food security; climate change mitigation; climate change; climate; farms; nonfarm activities,Journal article
Reducing the environmental efficiency gap in global livestock production,"Nin-Pratt, Alejandro",,,English,10.1093/ajae/aat033,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4022,2013,American Journal of Agricultural Economics,,,American Journal of Agricultural Economics 95(5): 1294-1300,climate change; greenhouse gases; livestock production; nutrient balance; agricultural systems; environmental efficiency; climate change; greenhouse gases; livestock production; nutrient balance; agricultural systems; environmental efficiency,Journal article
Reply to: An appeal to cost undermines food security risks of delayed mitigation,"Hasegawa, Tomoko; Fujimori, Shinichiro; Havlík, Petr; Valin, Hugo; Bodirsky, Benjamin Leon; Mason-D’Croz, Daniel; Sulser, Timothy B.; Wiebe, Keith",,e Environmental Restoration and Conservation Agency of Japan; Japan Society for the Promotion of Science,English,10.1038/s41558-020-0767-3,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7618,2020,Nature Climate Change,1758-678X,Nature Publishing Group,Nature Climate Change 10(5): 420-421,food security; mitigation; risk; emission reduction; climate change; agriculture; greenhouse gas emissions,Journal article
Research priorities for global food security under extreme events,"Mehrabi, Zia; Delzeit, Ruth; Ignaciuk, Adriana; Lever, Christian; Braich, Ginni; You, Liangzhi","Extreme events, such as those caused by climate change, economic or geopolitical shocks, and pest or disease epidemics, threaten global food security. The complexity of causation, as well as the myriad ways that an event, or a sequence of events, creates cascading and systemic impacts, poses significant challenges to food systems research and policy alike. To identify priority food security risks and research opportunities, we asked experts from a range of fields and geographies to describe key threats to global food security over the next two decades and to suggest key research questions and gaps on this topic. Here, we present a prioritization of threats to global food security from extreme events, as well as emerging research questions that highlight the conceptual and practical challenges that exist in designing, adopting, and governing resilient food systems. We hope that these findings help in directing research funding and resources toward food system transformations needed to help society tackle major food system risks and food insecurity under extreme events.",,English,10.1016/j.oneear.2022.06.008,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8324,2022,One Earth,2590-3330,Elsevier,One Earth 5(7): 756-766,climate change; extreme weather events; food security; governance; research; resilience; food supply; food production; food systems,Journal article
"Responding to global challenges in food, energy, environment and water: Risks and options assessment for decision-making","Grafton, R. Quentin; McLindin, Mahala; Hussey, Karen; Wyrwoll, Paul; Wichelns, Dennis; Ringler, Claudia; Garrick, Dustin; Pittock, Jamie; Wheeler, Sarah; Orr, Stuart; Matthews, Nathanial; Ansink, Erik; Aureli, Alice; Connell, Daniel; De Stefano, Lucia; Dowsley, Kate; Farolfi, Stefano; Hall, Jim; Katic, Pamela; Lankford, Bruce; Leckie, Hannah; McCartney, Matthew; Pohlner, Huw; Ratna, Nazmun; Rubarenzya, Mark Henry; Raman, Shriman Narayan Sai; Wheeler, Kevin; Williams, John ",,,English,10.1002/app5.128,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5579,2016,Asia & the Pacific Policy Studies,,,Asia & the Pacific Policy Studies 3(2): 275–299,water; energy; food security; climate change; sustainability; intensification; resilience; nexus,Journal article
Rice production and climate change in Northeast China: evidence of adaptation through land use shifts,"Hu, Yanan; Fan, Lingling; Liu, Zhenhuan; Yu, Qiangyi; Liang, Shefang; Chen, Shi; You, Liangzhi; Wu, Wenbin; Yang, Peng","Climate change continues to have a great impact on rice production in China, especially in Northeast China (NEC). Historical climate observations from the China Meteorological Administration and statistical agricultural records at the county level were utilized to evaluate the spatial and temporal effects of both climatic and socioeconomic factors on rice production between 1980 and 2010 in NEC by using a linear regression model. The results showed that a 1% increase in the rice accumulated temperature (RAT) significantly increases rice production by approximately 0.728%. Rising RAT over the past three decades increased rice production by 4.44% (equal to a relative contribution of 0.87% to production growth) in NEC, while the majority of rice production growth (79.6%) resulted from increased agricultural inputs. Furthermore, rice production has increased significantly since 2000, and its geographic centroid shifted over 320 km northeastward during the past 30 years. Historical statistical and simulated rice production data for each county were used to quantify the spatial relocation of rice production due to single climatic factors. During 1980-2010, temperature had a significant and coherent influence on moving rice production. The impact of growing season precipitation was not significant, while sunshine had a significant but less spatially coherent influence. Our findings highlight the response of the rice production system to external driving factors, both climate and socioeconomics, to target further research and provide important insights into how a rice cropping system is likely to adapt in a mid-high-latitude region in the future.",National Natural Science Foundation of China; National Key Research and Development Program of China; Ministry of Finance (China),English,10.1088/1748-9326/aafa55,Open Access,https://creativecommons.org/licenses/by/3.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6535,2019,Environmental Research Letters,1748-9326,,Environmental Research Letters 14(2),global warming; rice; production; production functions; climate change; land use; spatial data; rice relocation; northeast china,Journal article
"Rising absolutely, declining relatively: Agriculture, climate change, and job creation in Africa","Brooks, Karen",,International Fund for Agricultural Development IFAD,English,10.1080/03031853.2018.1538002,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6450,2018,Agrekon,,Routledge,Agrekon 57(3-4): 181-197,agriculture; labour market; youth; employment; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; resource management; economic development; prices; nutrition; malnutrition; structural transformation; impact model,Journal article
Risk of increased food insecurity under stringent global climate change mitigation policy,"Hasegawa, Tomoko; Fujimori, Shinichiro ; Mason-D'Croz, Daniel; Wiebe, Keith D.; Sulser, Timothy B.; Havlík, Petr; Valin, Hugo; Bodirsky, Benjamin Leon; Doelman, Jonathan C.; Fellmann, Thomas; Kyle, Page; Koopman, Jason F. L.; Lotze-Campen, Hermann; Ochi, Yuki; Domínguez, Ignacio Pérez; Stehfest, Elke; Tabeau, Andrzej; Takahashi; Kiyoshi; Takakura, Jun’ya;  van Meijl, Hans; van Zeist, Willem-Jan; Witzke, Peter",,Environmental Restoration and Conservation Agency of Japan; JSPS Overseas Research Fellowships; European Commission,English,10.1038/s41558-018-0230-x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6322,2018,Nature Climate Change,,,Nature Climate Change 8: 699-703,climate change; climate change mitigation; socioeconomic factors; food security; impact model,Journal article
Rural transformation and the future of cereal-based agri-food systems,"Kruseman, Gideon; Mottaleb, Khondoker Abdul; Tesfaye, Kindie; Bairagi, Subir; Robertson, Richard D.; Mandiaye, Diagne","Rural transformation is an inevitable and fundamental process of development. However, the speed and dimensions of rural transformation can affect investments in major staples such as maize, wheat and rice, which continue to play an important role in agri-food systems around the globe. This paper investigates the impacts of rural transformation on the future of cereal-based agri-food systems which are not directly addressed in global agricultural assessment models such as IMPACT. In this study, we present several key cases of major cereal systems undergoing different changes as a result of rural transformation processes across the major cereal baskets. We place these case studies in the perspective of IMPACT model scenario study results. Our study shows that the rural transformations that are taking place in different regions are heterogeneous with different impacts on the investment requirements for research and development (R&D) in the major cereals. It is concluded that although results of global agricultural assessment models such as IMPACT show initial large-scale effects on food system interactions, an iterative approach with more focused analyses on the complexities of rural transformation is needed to fine-tune results and place them in perspective.",,English,10.1016/j.gfs.2020.100441,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7458,2020,Global Food Security,2211-9124,Elsevier,Global Food Security 26(September 2020): 100441,rural areas; cereals; agrifood systems; food systems; food security; climate change; technological changes; economic development; prices; nutrition; models; maize; wheat; rice; impact model; foresight; rural transformation; investment scenarios,Journal article
Satellite sun‐induced chlorophyll fluorescence detects early response of winter wheat to heat stress in the Indian Indo‐Gangetic Plains,"Song, Lian; Guanter, Luis; Guan, Kaiyu; You, Liangzhi; Huete, Alfredo; Ju, Weimin; Zhang, Yongguang",,,English,10.1111/gcb.14302,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6241,2018,Global Change Biology,,Wiley-Blackwell,Global Change Biology 24(9): 4023-4037,heat stress; crop yield; fluorescence; chlorophylls; winter wheat; climate change; satellite observation; agricultural research; spatial data; sun‐induced chlorophyll fluorescence; extreme climatic events; heat wave,Journal article
Scenario development and foresight analysis: Exploring options to inform choices,"Wiebe, Keith D.; Zurek, Monika; Lord, Steven; Brzezina, Natalia; Gabrielyan, Gnel; Libertini, Jessica; Loch, Adam; Thapa-Parajuli, Resham; Vervoort, Joost; Westhoek, Henk",,Bill and Melinda Gates Foundation; Australian Research Council; European Commission,English,10.1146/annurev-environ-102017-030109,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6499,2018,Annual Review of Environment and Resources,,,Annual Review of Environment and Resources 43(2018): 545-570,agriculture; environment; forecasting; climate; climate change; decision making; impact model,Journal article
Sea-level rise and human migration,"Hauer, Mathew E.; Fussell, Elizabeth; Mueller, Valerie; Burkett, Maxine; Call, Maia; Abel, Kali; McLeman, Robert; Wrathall, David",,National Science Foundation,English,10.1038/s43017-019-0002-9,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8957,2020,Nature Reviews Earth and Environment,2662-138X,Nature Publishing Group,Nature Reviews Earth and Environment 1(1): 28-39,migration; sea level; sea level measurement; anthropogenic climate change; anthropogenic changes; climate refugees,Journal article
Sex-disaggregated agricultural extension and weather variability in Africa south of the Sahara,"Azzarri, Carlo; Nico, Gianluigi","Climate change and extreme weather shocks pose serious threats to a number of agricultural outcomes, including agricultural production, productivity, and income, especially when households depend heavily on this activity. Agricultural extension and rural advisory services are key instruments in promoting technical change, advancing agricultural productivity growth and, ultimately, improving farm livelihoods, and are expected to mitigate the negative effects of climate change and extreme weather shocks. Their mitigation effects, however, may vary depending on the sex of the recipient. This paper investigates the role of sex-disaggregated agricultural extension recipients in contexts where agricultural performance of farm households is affected by weather variability. To this aim, we match multiple rounds of panel microdata from the nationally representative, consumption-based Living Standards Measurement Study -Integrated Surveys on Agriculture (LSMS-ISA), collected in four sub-Saharan African countries, with remote sensing data on biophysical dimensions over a long-term horizon as well as year-specific weather shocks. To our knowledge, this is the first time that a micro-level dataset with individual-level information on agricultural extension services’ recipients has been assembled and examined to investigate the effects of extreme weather shocks and climate change. Applying panel data econometric estimators, the study finds that agricultural extension and advisory services translate into higher agricultural performance of farm households where women are also among the beneficiaries, as compared to non-beneficiaries and households where beneficiaries are men only. Moreover, these services can mitigate the negative effects of weather variability and climate change, controlling for country and time fixed effects as well as holding all other variables constant. These results call for national and international policies and interventions strengthening rural advisory services, especially targeted to women in settings where household livelihoods are predominantly agriculture-based and weather variability and shocks are expected to negatively affect farming activities.",United States Agency for International Development USAID; Bill and Melinda Gates Foundation,English,10.1016/j.worlddev.2022.105897,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8188,2022,World Development,0305-750X,Elsevier,World Development 155(July 2022): 105897,agricultural extension; weather; weather data; sex-disaggregated data; remote sensing; gender; women; farm income,Journal article
Snow cover and precipitation impacts on dry season streamflow in the Lower Mekong Basin,"Cook, B.I.; Bell, Andrew; Anchukaitis, K.J.; Buckley, B.M.",,,English,10.1029/2012jd017708,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3840,2012,Journal of Geophysical Research: Atmospheres,,,Journal of Geophysical Research: Atmospheres 117(D16): D16116,mekong river; climate change; precipitation; snow cover; streamflow,Journal article
Stakeholders prioritization of climate-smart agriculture interventions: Evaluation of a framework,"Khatri-Chhetri, Arun; Pant, Anjali; Aggarwal, Pramod K.; Vasireddy, Vijya Vardhan; Yadav, Akhilesh","This paper presents a framework to prioritize locally suitable climate-smart agricultural (CSA) interventions and implementation suitability assessments with key stakeholders: state and district agriculture departments, extension offices, agriculture research institutions, NGOs and donor agencies, private sector and farmers. Prioritization of appropriate interventions for given contexts is needed to assist relevant stakeholders to make strategic decisions and improve adaptability and efficiency of agriculture production system in the face of climate change and variability. ",ITC India Limited,English,10.1016/j.agsy.2019.03.002,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6654,2019,Agricultural Systems,0308-521X,Elsevier,Agricultural Systems 174(August 2019): 23-31,"climate change; climate-smart agriculture; technology; stakeholders; resilience; prioritization; incentives; agricultural productivity
; climate-smart agriculture technologies",Journal article
Stressors and resilience within the cassava value chain in Nigeria: Preferred cassava variety traits and response strategies of men and women to inform breeding,"Olaosebikan, Olamide; Bello, Abolore; Utoblo, Obaiya; Okoye, Benjamin; Olutegbe, Nathaniel; Garner, Elisabeth; Teeken, Bela; Bryan, Elizabeth; Forsythe, Lora; Cole, Steven; Kulakow, Peter; Egesi, Chiedozie; Tufan, Hale; Madu, Tessy","This study investigated the trait preferences for cassava in the context of climate change and conflict stressors among value-chain actors in Nigeria to strengthen social inclusion and the community-resilience outcomes from breeding programs. Multi-stage sampling procedures were used to select and interview male and female value-chain participants in the Osun, Benue and Abia States. The results indicated that farmers preferred cassava traits such as drought tolerance, early bulking, multiple-product use and in-ground storability to strengthen resilience. Climate change and challenges related to social change shaped the response strategies from both genders, and influenced trait preferences, including the early re-emergence of cassava leaves, stems that had ratooning potential, and especially the root milking that was important among female respondents. The major response strategies employed by men included frequent farm visits to prevent theft and engaging in non-agricultural livelihoods. Those employed by women included backyard farming, early harvesting, having preferences for food with fewer processing steps, and depending on remittances. The resilience capacity was higher for men than for women due to their better access to assets, as well as their abilities to relocate their farms and out-migrate in search of other livelihoods. Considering gendered cassava traits, and enhancing their resilience and response strategies, can complement efforts to make breeding more socially inclusive, resilient, and anticipatory to future challenges created by climate and related social changes.",Bill and Melinda Gates Foundation,English,10.3390/su15107837,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8947,2023,Sustainability,2071-1050,MDPI,Sustainability 15(10): 7837,breeding; cassava; climate change; conflicts; gender; value chains; resilience; farmers; livelihoods; trait preferences; response strategies; gender disparity,Journal article
Structural approaches to modeling the impact of climate change and adaptation technologies on crop yields and food security,"Islam, Shahnila; Cenacchi, Nicola; Sulser, Timothy B.; Gbegbelegbe, Sika; Hareau, Guy; Kleinwechter, Ulrich; Mason-D’Croz, Daniel; Nedumaran, Swamikannu; Robertson, Richard D.; Robinson, Sherman; Wiebe, Keith D.",,,English,10.1016/j.gfs.2016.08.003,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5513,2016,Global Food Security,,,Global Food Security 10(September 2016): 63-70,productivity; yields; adaptation; protected areas; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; structural approach; impact model,Journal article
Supply chains for processed potato and tomato products in the United States will have enhanced resilience with planting adaptation strategies,"Gustafson, David; Asseng, Senthold; Kruse, John; Thoma, Greg; Guan, Kaiyu; Hoogenboom, Gerrit; Matlock, Marty; McLean, Morven; Parajuli, Ranjan; Sulser, Timothy B.; Wiebe, Keith D.",,U.S. Department of Agriculture,English,10.1038/s43016-021-00383-w,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8170,2021,Nature Food,2662-1355,Nature Publishing Group,Nature Food 2: 862-872,resilience; climate change; food security; nutrition; models; trade; agricultural production; tomatoes; potatoes; planting methods,Journal article
Supporting sustainable expansion of livestock production in South Asia and Sub-Saharan Africa: Scenario analysis of investment options,"Enahoro, Dolapo; Mason-D’Croz, Daniel; Mul, Marloes; Rich, Karl M.; Robinson, Timothy P.; Thornton, Philip; Staal, Steven S.","Growth in demand for livestock-derived foods will likely remain strong in low- and middle- income countries, fueling concerns about expansion of production and the management of natural resources. Recent research suggests that the envisioned negative effects are not inevitable and that benefits such as improved food security can be enhanced. Targeted investments to the livestock sector could help make these happen. We use scenario analysis to explore this question, assessing the impacts of selected investment options in sub-Saharan Africa and South Asia. Our results show that boosting livestock productivity primarily in these two regions could improve food security and producer incomes while limiting greenhouse gas emissions and agricultural water usage. Market-improving investments with similar welfare gains lead to environmental impacts that necessitate complementary investments.",,English,10.1016/j.gfs.2019.01.001,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6593,2019,Global Food Security,,Elsevier,Global Food Security 20(March 2019): 114-121,livestock; intensification; nutrition; food security; greenhouse gas emissions; livestock production; food supply; climate change; technological changes; commodity markets; resource management; economic development; prices; malnutrition; impact model,Journal article
Synchronous crop failures and climate-forced production variability,"Anderson, W. B.; Seager, R.; Baethgen, W.; Cane, M.; You, Liangzhi","Large-scale modes of climate variability can force widespread crop yield anomalies and are therefore often presented as a risk to food security. We quantify how modes of climate variability contribute to crop production variance. We find that the El Niño Southern Oscillation (ENSO), the Indian Ocean Dipole (IOD), tropical Atlantic variability (TAV), and the North Atlantic Oscillation (NAO) together account for 18, 7, and 6% of globally aggregated maize, soybean, and wheat production variability, respectively. The lower fractions of global-scale soybean and wheat production variability result from substantial but offsetting climate-forced production anomalies. All climate modes are important in at least one region studied. In 1983, ENSO, the only mode capable of forcing globally synchronous crop failures, was responsible for the largest synchronous crop failure in the modern historical record. Our results provide the basis for monitoring, and potentially predicting, simultaneous crop failures.",Columbia World Project; Fundamental Research Funds for the Central Universities; National Science Foundation,English,10.1126/sciadv.aaw1976,Open Access,https://creativecommons.org/licenses/by-nc/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6731,2019,Science Advances,2375-2548,,Science Advances 5(7): eaaw1976,crop losses; agricultural production; climate; crop production; climate change; spatial data; crop failures; climate modes,Journal article
Techlex: A corporate practice to initiate inclusive agri-food value chain development in China,"Zhou, Yunyi; Hu, Song; Chen, Kevin Z.","A tradeoff lies between inclusiveness and economic efficiency in meeting the Sustainable Development Goals such as poverty reduction, food security, and climate resilience. Vertical coordination between agribusinesses and farmers, in tandem with corporate social responsibility, has been perceived as an approach to surmount such tradeoff from a micro perspective. In a localized context of developing economies, the vertical coordination with farmers is reducible to a path for agribusinesses towards inclusive local value chain development (LVCD) at the grassroots level. However, few models are documented for agribusiness managers to refer to in practice. This study harnesses the Techlex Group and its pig business as a case, zooming in on the vertical coordination of agribusiness and vulnerable smallholders in lagging rural areas of China. Based on an overview of China’s pig industry and Techlex’s value chain, this study highlights three inclusive models and their alternatives for the LVCD. Though proffered in the Chinese context, those models can enrich the LVCD toolkit and be attuned to fit a different scenario.",Zhejiang University,English,10.22434/ifamr2021.0097,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8482,2023,International Food and Agribusiness Management Review,1559-2448,Wageningen Academic Publishers,International Food and Agribusiness Management Review 26(2): 355-371,economic conditions; sustainable development goals; agriculture; agro-industrial sector; farmers; poverty reduction; food security; climate change adaptation; corporations; developing economies; value chains; swine; contract farming; climate resilience; local value chain development (lvcd); pigs; vertical coordination,Journal article
Temporary migration and climate variation in Eastern Africa,"Mueller, Valerie; Sheriff, Glenn; Dou, Xiaoya; Gray, Clark","Africa is likely to experience warming and increased climate variability by the late 21st century. Climate extremes have been linked to adverse economic outcomes. Hence, adaptation is a key component of the United Nations Framework Convention on Climate Change agreements and development assistance. Effective climate adaptation policy requires an understanding of how temperature and rainfall variability affect migration patterns. Yet, how individuals in developing countries manage climate variation is poorly understood, especially in Africa. Combining high-resolution climate data with panel micro-data on migration, labor participation, and demographics, we employ regression analysis to assess temporary migration responses to local temperature and precipitation anomalies in four East African countries. We find that climate impacts are most pronounced in urban areas, with a standard deviation temperature increase and rainfall decrease leading to respective 10 and 12 percent declines in out-migration relative to mean values. Evidence from other labor market outcomes suggests that urban out-migration is not associated with reduced local employment opportunities. Instead, declines in urban out-migration appear to coincide with negative local climate employment impacts. These results challenge the narrative that temporary out-migration serves as a safety valve during climate extremes and that climate change will most strongly affect out-migration rates from rural areas in developing countries.",,English,10.1016/j.worlddev.2019.104704,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6989,2020,World Development,0305-750X,Elsevier,World Development 126(February 2020): 104704,migration; climate; climate change; climate change adaptation; work force; labour market; rural urban migration; urban rural migration; climate-induced migration; temporary migration,Journal article
The Agricultural Model Intercomparison and Improvement Project (AgMIP),"Rosenzweig, C.; Jones, J.W.; Hatfield, J.L.; Ruane, A.C.; Boote, Kenneth J.; Thorburn, P.; Antle, J.M.; Nelson, Gerald C.; Porter, C.; Janssen, S.; Asseng, S.; Basso, B.; Ewert, F.; Wallach, D.; Baigorria, G.; Winter, J.M.",,,English,10.1016/j.agrformet.2012.09.011,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3787,2013,Agricultural and Forest Meteorology,,,Agricultural and Forest Meteorology 170(March 2013): 166-182,agriculture; food security; climate change; crop modelling; economic models; models; intercomparison; uncertainty; risk; adaptation,Journal article
"The changing climate-migration relationship in China, 1989–2011","Gray, Clark; Hopping, Douglas; Mueller, Valerie",,"National Institute of Child Health and Human Development; National Institute for Nutrition and Health; China Center for Disease Control and Prevention; Fogarty International Center; National Institutes of Health; Carolina Population Center, UNC Chapel Hill",English,10.1007/s10584-020-02657-x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7277,2020,Climatic Change,0165-0009,Springer,Climatic Change 160: 103–122,climate change; migration; agriculture; rural areas; urban areas; labour; precipitation; temperature; migrants; climate migrants; climate refugees; non-agricultural activities; climate shocks; internal migration; climate-migration,Journal article
The changing nature of hydroclimatic risks across South Africa,"Schlosser, Adam; Sokolov, Andrei; Strzepek Ken; Thomas, Timothy S.; Gao, Xiang; Arndt, Channing","We present results from large ensembles of projected twenty-first century changes in seasonal precipitation and near-surface air temperature for the nation of South Africa. These ensembles are a result of combining Monte Carlo projections from a human-Earth system model of intermediate complexity with pattern-scaled responses from climate models of the Coupled Model Intercomparison Project Phase 5 (CMIP5). These future ensemble scenarios consider a range of global actions to abate emissions through the twenty-first century. We evaluate distributions of surface-air temperature and precipitation change over three sub-national regions: western, central, and eastern South Africa. In all regions, we find that without any emissions or climate targets in place, there is a greater than 50% likelihood that mid-century temperatures will increase threefold over the current climate’s two-standard deviation range of variability. However, scenarios that consider more aggressive climate targets all but eliminate the risk of these salient temperature increases. A preponderance of risk toward decreased precipitation (3 to 4 times higher than increased) exists for western and central South Africa. Strong climate targets abate evolving regional hydroclimatic risks. Under a target to limit global climate warming to 1.5 °C by 2100, the risk of precipitation changes within South Africa toward the end of this century (2065–2074) is commensurate to the risk during the 2030s without any global climate target. Thus, these regional hydroclimate risks over South Africa could be delayed by 30 years and, in doing so, provide invaluable lead-time for national efforts to prepare, fortify, and/or adapt.",Massachusetts Institute of Technology; U.S. Department of Energy; U.S. Environmental Protection Agency; Electric Power Research Institute; National Treasury of the Republic of South Africa,English,10.1007/s10584-021-03235-5,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7997,2021,Climatic Change,0165-0009,Springer,Climatic Change 168: 28,climate change; climate change mitigation; risk; precipitation; temperature; hydroclimatology; modelling; seasonality; mit earth systems model (mesm); coupled model intercomparison project phase 5 (cmip5); seasonal precipitation; hydroclimatic risks,Journal article
The crucial role of domestic and international market-mediated adaptation to climate change,"Gouel, Christophe; Laborde Debucquet, David","Climate change effects on agricultural yields will be uneven over the world. A few countries, mostly in high latitudes, may experience gains, while most will see average yield decrease. This paper aims to quantify the role of market-mediated adjustments in attenuating the effects of climate change by allowing the expression of the new climate-induced pattern of comparative advantages within and between countries. To do this, we develop a quantitative general equilibrium trade model where the representation of land use choice is inspired from modern Ricardian trade models. We use spatially explicit information from the agronomic literature about potential yields before and after climate change for calibration and counterfactual simulations. The results show that the climate-induced yield changes generate large price movements that incentivize adjustments in production and trade. Both production and trade adjustments contribute to reducing welfare losses globally, with production adjustments making the larger contribution.",INRA-Cirad métaprogramme GloFoodS; CLAND Convergence Institute,English,10.1016/j.jeem.2020.102408,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7606,2021,Journal of Environmental Economics and Management,0095-0696,Elsevier,Journal of Environmental Economics and Management 106(March 2021): 102408,agriculture; climate change; trade; land use; international trade; adaptation; crop production; models; market-mediated adjustments; equilibrium trade model,Journal article
The Data in Emergencies (DIEM) hub for evaluating multiple shock impacts on food security,"Amparore, Andrea; Constas, Mark A.; Fossi, Filippo; Gauny, Josselin; Marsland, Neil; Ulimwengu, John M.",,,English,10.1038/s43016-023-00825-7,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8844,2023,Nature Food,2662-1355,Nature Publishing Group,Nature Food 4: 628–629,climate change; conflicts; food security; migration; resilience,Journal article
The economic costs of climate change,"Arndt, Channing; Tarp, Finn; Thurlow, James",,,English,10.3390/su7044131,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5176,2015,Sustainability,,,Sustainability 7(4):4131 - 4145,climate change; uncertainty; cge model; multi sector,Journal article
The effect of climate change across food systems: Implications for nutrition outcomes,"Fanzo, Jessica; Davis, Claire; McLaren, Rebecca; Choufani, Jowel",,United States Agency for International Development USAID,English,10.1016/j.gfs.2018.06.001,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6278,2018,Global Food Security,,,Global Food Security 18(September 2018): 12-19,nutrition; climate change; food security; diets; food systems; food storage; food consumption; mitigation; supply chain; postharvest technology; food storage; food supply chain; value chains,Journal article
"The effect of climate information in pastoralists’ adaptation to climate change: A case study of Rwenzori region, Western Uganda","Nkuba, Michael; Chanda, Raban; Mmopelwa, Gagoitseope; Kato, Edward; Mangheni, Margareth Najjingo; Lesolle, David","This paper aims to investigate the effect of using indigenous forecasts (IFs) and scientific forecasts (SFs) on pastoralists’ adaptation methods in Rwenzori region, Western Uganda.",,English,10.1108/ijccsm-10-2018-0073,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6790,2019,International Journal of Climate Change Strategies and Management,1756-8692,,International Journal of Climate Change Strategies and Management 11(4): 442-464,climate change; climate change adaptation; pastoralists; indigenous knowledge; indigenous forecasts; scientific forecasts,Journal article
The effects of prenatal exposure to temperature extremes on birth outcomes: The case of China,"Chen, Xi; Tan, Chih Ming; Zhang, Xiaobo; Zhang, Xin",,"Yale University; U.S. PEPPER Center; National Institute on Aging, NIH NIA; Greg and Cindy Page Faculty Distribution Fund; Central Universities; China Postdoctoral Science Foundation",English,10.1007/s00148-020-00768-4,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7116,2020,Journal of Population Economics,0933-1433,Springer,Journal of Population Economics 33(4): 1263-1302,temperature; environmental temperature; birth weight; climate change; climate change adaptation; low birth weight infants; infants; cold weather; heat wave,Journal article
